name,id,wikidataId,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,datePremiered,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,numOfScenes,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"ebner-eschenbach-das-waldfraeulein","ger000715","Q127415168","Ebner-Eschenbach","0","Das Waldfräulein","Lustspiel in drei Aufzügen","Comedy","https://doi.org/10.1515/9783110233070.525","De Gruyter","Berlin und New York","2010","77","1873","19","false","0.9047821201845969","0.8128654970760234","1.1871345029239766","several characters","14.631578947368421","2","1873-01-13","1873","1969","18","19","6","12","1","1","1","139","1867/1875","32","0","3","32","19125","18319","2580","1413","0"
"ebner-eschenbach-die-schauspielerin","ger000769","Q123865344","Ebner-Eschenbach","0","Die Schauspielerin","Drama in drei Aufzügen","","https://doi.org/10.1515/9783110233070.195","De Gruyter","Berlin und New York","2010","39","1861","8","false","0.9285714285714286","0.8571428571428571","1.1428571428571428","heinrich|max|helene","6","2","","","2010","7","8","3","5","0","0","1","24","1860/1861","17","0","3","17","11871","11653","1021","669","0"
"ebner-eschenbach-die-selbstsuechtigen","ger000704","Q127396103","Ebner-Eschenbach","0","Die Selbstsüchtigen","Lustspiel in drei Aufzügen","Comedy","https://doi.org/10.1515/9783110233070.419","De Gruyter","Berlin und New York","2010","37","1872","7","false","0.7333333333333333","0.6666666666666666","1.3333333333333333","steinberg","4","2","","","2010","6","7","2","5","0","0","1","14","1871/1872","21","0","3","21","10731","10429","1182","705","0"
"ebner-eschenbach-die-veilchen","ger000706","Q121834497","Ebner-Eschenbach","0","Die Veilchen","Lustspiel in einem Aufzuge","Comedy","https://doi.org/10.1515/9783110233070.475","De Gruyter","Berlin und New York","2010","16","1862","8","false","1","1","1","several characters","7","1","1863-05-13","1863","1862","7","8","4","4","0","0","1","28","1862","3","0","1","3","4386","4190","673","313","0"
"ebner-eschenbach-doctor-ritter","ger000611","Q116983809","Ebner-Eschenbach","0","Doctor Ritter","Dramatisches Gedicht in 1 Aufzuge","","https://books.google.com/books?id=Ii6-ttFFbbAC&printsec=frontcover","Reitmann","Wien","1869","28","1869","7","false","0.9238095238095239","0.9047619047619048","1.0952380952380953","several characters","5.428571428571429","2","1869-02-21","1869","1869","6","7","2","4","1","1","1","19","","6","0","1","6","4306","4154","247","24","467"
"ebner-eschenbach-es-wandelt-niemand-ungestraft-unter-palmen","ger000707","Q128949696","Ebner-Eschenbach","0","Es wandelt Niemand ungestraft unter Palmen","Dramatisches Sprichwort","","https://doi.org/10.1515/9783110233070.883","De Gruyter","Berlin und New York","2010","12","1881","4","false","1","1","1","several characters","3","1","1881-05-21","1881","1881","3","4","2","2","0","0","1","6","<1880","1","0","0","1","3696","3597","599","190","0"
"ebner-eschenbach-ihre-schwester","ger000710","Q129780735","Ebner-Eschenbach","0","Ihre Schwester","","","https://doi.org/10.1515/9783110233070.861","De Gruyter","Berlin und New York","2010","12","1903","3","false","1","1","1","grete|hadwiga|solm","2","1","","","1903","2","3","2","1","0","0","1","3","<1903","1","0","0","1","3752","3319","878","119","0"
"ebner-eschenbach-maennertreue","ger000709","Q127847746","Ebner-Eschenbach","0","Männertreue","Lustspiel in vier Aufzügen. Nach einer Novelle des Bandello","Comedy","https://doi.org/10.1515/9783110233070.247","De Gruyter","Berlin und New York","2010","49","1874","12","false","0.895959595959596","0.6818181818181818","1.3181818181818181","girolamo","7.5","2","1874-11-15","1874","1874","11","12","3","8","1","1","1","45","1873","21","0","4","21","12691","12256","1837","230","998"
"ebner-eschenbach-ohne-liebe","ger000653","Q122731787","Ebner-Eschenbach","0","Ohne Liebe","Lustspiel in einem Akt","Comedy","https://doi.org/10.1515/9783110233070.385","De Gruyter","Berlin und New York","2010","22","1891","7","false","0.8666666666666666","0.8095238095238095","1.1904761904761905","marko|emma","4.857142857142857","2","","1891","1891","6","7","4","3","0","0","1","17","","11","0","1","11","6500","6060","1439","334","0"
"eckardt-die-vergiftete-traube","ger000656","Q122749478","Eckardt","0","Die Vergiftete Traube","Ein Trauerspiel in Einem Aufzuge, Mit doppelter Katastrophe. Wie es auf dem Prager Nationaltheater nicht aufgeführt worden","Tragedy","https://books.google.com/books?id=o-tKAAAAcAAJ&printsec=frontcover","Gerle","Prag","1783","44","1783","6","false","0.9","0.8666666666666667","1.1333333333333333","bianka|marchese|sassino","4.333333333333333","2","1783-10-16","1783","1783","5","6","4","2","0","0","1","13","","18","0","0","18","8393","7377","719","261","0"
"eckartshausen-der-pudelhund","ger000524","Q105075429","Eckartshausen","0","Der Pudelhund","Ein Lustspiel in einem Aufzuge","Comedy","https://books.google.com/books?id=qF5IAAAAcAAJ&printsec=frontcover","Lentner","München","1800","51","1800","8","false","0.7761904761904762","0.6071428571428571","1.3928571428571428","adolph","4.25","2","","","1800","7","8","2","6","0","0","1","17","","17","0","0","17","8525","8317","235","242","7"
"eichendorff-das-incognito","ger000335","Q52893965","Eichendorff","0","Das Incognito oder Die mehreren Könige oder Alt und Neu","Ein Puppenspiel","","http://www.textgridrep.org/textgrid:msdg.0","","","","","1843","57","false","0.9334537003689793","0.32205513784461154","1.8803258145363408","koenig","18.035087719298247","3","","","1901","41","57","3","49","5","9","1","514","1840/1843","7","0","0","7","6119","5970","794","0","783"
"eichendorff-der-letzte-held-von-marienburg","ger000255","Q51386975","Eichendorff","0","Der letzte Held von Marienburg","Trauerspiel","Tragedy","http://www.textgridrep.org/textgrid:mr3k.0","","","","","1830","55","false","0.8261051701693763","0.26262626262626265","1.8545454545454545","heinrich_von_plauen","14.181818181818182","3","","1831","1830","41","55","6","49","0","3","1","390","","18","0","5","18","24596","24026","2330","73","2863"
"eichendorff-die-freier","ger000118","Q52894138","Eichendorff","0","Die Freier","Lustspiel in drei Aufzügen","Comedy","http://www.textgridrep.org/textgrid:msqv.0","","","","","1833","11","false","0.8383838383838385","0.7636363636363637","1.2545454545454546","several characters","7.636363636363637","3","","1849","1833","9","11","3","8","0","0","1","42","","10","0","3","10","15820","15525","1630","479","493"
"engel-der-diamant","ger000728","Q134267850","Engel","0","Der Diamant","Ein Lustspiel in einem Aufzuge, nach dem Französischen des Collé","Comedy","https://books.google.com/books?id=TWtVAAAAcAAJ&printsec=frontcover","Dyck","Leipzig","1773","52","1772","8","false","0.7916666666666666","0.5","1.6428571428571428","frau_von_gercourt|herr_von_gercourt","3.5","3","1773-04-02","1773","1772","5","8","2","6","0","0","1","14","","14","0","0","14","6717","6561","276","387","0"
"engel-der-edelknabe","ger000678","Q123285728","Engel","0","Der Edelknabe","Ein Lustspiel für Kinder in einem Aufzuge","Comedy","https://books.google.com/books?id=q4c5wwEACAAJ&printsec=frontcover","Dyck","Leipzig","1774","60","1774","7","false","0.6904761904761905","0.6190476190476191","1.380952380952381","fuerst","3.7142857142857144","2","1774-11-02","1774","1774","6","7","1","6","0","0","1","13","","17","0","0","17","8194","7969","906","316","0"
"engel-eid-und-pflicht","ger000262","Q52894275","Engel","0","Eid und Pflicht","Ein bürgerliches Trauerspiel in fünf Aufzügen","Tragedy","http://www.textgridrep.org/textgrid:mv7f.0","Mylius","Berlin","1803","160","1776","11","false","0.8042568542568543","0.509090909090909","1.509090909090909","madame_welldorf|luise","5.090909090909091","3","1796-03-10","1796","1803","9","11","3","8","0","0","1","28","1776","37","0","5","37","17834","17540","1872","652","0"
"engelke-wala","ger000603","Q116215333","Engelke","0","Wala","","","https://www.projekt-gutenberg.org/engelke/wala/wala.html","Büchergilde Gutenberg","Frankfurt am Main","1961","13","1914","6","false","0.9","0.8666666666666667","1.1333333333333333","setel|wala|brond","4.333333333333333","2","","","","5","6","1","5","0","1","1","13","1914","2","0","0","2","3150","2600","724","74","115"
