title,title_pretty,genre,is_whole,acts_1_density,acts_1_diameter,acts_1_average_clustering,acts_1-2_density,acts_1-2_diameter,acts_1-2_average_clustering,acts_1-2-3_density,acts_1-2-3_diameter,acts_1-2-3_average_clustering,acts_1-2-3-4_density,acts_1-2-3-4_diameter,acts_1-2-3-4_average_clustering,acts_1-2-3-4-5_density,acts_1-2-3-4-5_diameter,acts_1-2-3-4-5_average_clustering
brosse-turne,Le Turne de Virgile,Tragedy,True,1.0,1,1.0,0.8,2,0.9,0.5714285714285714,3,0.675,0.5,3,0.6555555555555556,0.6111111111111112,3,0.7407407407407408
cailhava-egoisme,L'Egoïsme,Comedy,True,0.4,4,0.0,0.37777777777777777,4,0.6033333333333333,0.4666666666666667,4,0.55,0.5777777777777777,2,0.6735714285714286,0.6909090909090909,3,0.7651515151515151
caminade-chatenay-alcidiade,Alcibiade,Tragedy,False,0.4666666666666667,3,0.611111111111111,0.5714285714285714,2,0.7952380952380952,0.4166666666666667,2,0.8240740740740741,0.5555555555555556,2,0.7957671957671958,0.8055555555555556,2,0.8693121693121693
campistron-adrien,Adrien,Tragedy,True,0.5,2,0.0,0.5333333333333333,2,0.6055555555555555,0.42857142857142855,2,0.5047619047619047,0.6666666666666666,2,0.6666666666666667,0.6666666666666666,2,0.6666666666666667
campistron-alcibiade,Alcibiade,Tragedy,True,0.6666666666666666,2,0.5833333333333334,0.2777777777777778,4,0.37407407407407406,0.3333333333333333,4,0.37407407407407406,0.3888888888888889,3,0.4444444444444444,0.4444444444444444,3,0.48148148148148145
campistron-andronic,Andronic,Tragedy,True,0.25,2,0.2708333333333333,0.2545454545454545,4,0.37878787878787884,0.2545454545454545,4,0.37878787878787884,0.21794871794871795,4,0.2620879120879121,0.24358974358974358,4,0.365018315018315
campistron-arminiusc,Arminius,Tragedy,True,0.26666666666666666,3,0.0,0.38095238095238093,3,0.42857142857142855,0.4444444444444444,2,0.49259259259259264,0.5111111111111111,3,0.6352380952380952,0.6,3,0.7764285714285715
campistron-juba,"Juba, Roi de Mauritanie",Tragedy,True,0.5,3,0.0,0.5,3,0.0,0.5333333333333333,2,0.4444444444444444,0.5333333333333333,2,0.4444444444444444,0.5238095238095238,3,0.7333333333333333
campistron-phocion,Phocion,Tragedy,True,0.4,3,0.0,0.4,3,0.3611111111111111,0.4642857142857143,2,0.6607142857142857,0.5357142857142857,2,0.7226190476190476,0.4444444444444444,3,0.6164021164021164
campistron-pompeia,Pompeia,Tragedy,True,0.2,2,0.0,0.2857142857142857,3,0.4375,0.3055555555555556,3,0.4703703703703704,0.3333333333333333,4,0.4619047619047619,0.4,4,0.5995670995670995
campistron-tiridate,Tiridate,Tragedy,True,0.4666666666666667,3,0.27777777777777773,0.2777777777777778,4,0.09259259259259259,0.28888888888888886,4,0.2033333333333333,0.35555555555555557,4,0.5166666666666666,0.5111111111111111,4,0.6333333333333333
campistron-virginie,Virginie,Tragedy,True,0.4,4,0.3888888888888889,0.32142857142857145,4,0.4375,0.3888888888888889,3,0.5444444444444445,0.4166666666666667,3,0.5444444444444445,0.4666666666666667,3,0.6816666666666666
carrion-nizas-pierre-le-grand,Pierre le Grand,Tragedy,True,1.0,1,1.0,0.6190476190476191,2,0.9238095238095239,0.6428571428571429,2,0.8488095238095238,0.5555555555555556,2,0.815952380952381,0.6222222222222222,2,0.7918253968253969
de-caux-marius,Marius,Tragedy,True,0.5,3,0.0,0.2777777777777778,4,0.2074074074074074,0.3333333333333333,4,0.2296296296296296,0.3333333333333333,4,0.2296296296296296,0.4166666666666667,3,0.5666666666666667
chabanon-eudoxie,Eudoxie,Tragedy,True,0.5,2,0.0,0.4666666666666667,2,0.4777777777777778,0.3055555555555556,3,0.3862433862433863,0.3333333333333333,3,0.3915343915343915,0.3333333333333333,3,0.3915343915343915
chabanon-faux-noble,Le Faux Noble,Comedy,True,0.2,3,0.21666666666666665,0.2761904761904762,3,0.5422751322751324,0.275,3,0.5241838023088023,0.30833333333333335,3,0.5803932178932178,0.3416666666666667,3,0.6395802114552115
