name,id,wikidataId,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,datePremiered,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,numOfScenes,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"aigueberre-avare-amoureux","fre000005","Q63215735","Dumas d'Aigueberre","0","L'Avare Amoureux","Comédie en un Acte et en Prose","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/AIGUEBERRE_AVAREAMOUREUX.xml","","","","","1781","8","false","0.7958333333333333","0.6071428571428571","1.4642857142857142","argante","4.25","3","","","1781","6","8","3","4","1","0","1","17","","22","0","1","22","6405","6218","55","314","0"
"aigueberre-pan-et-doris","fre000006","","Dumas d'Aigueberre","0","Pan et Doris Pastorale","","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/AIGUEBERRE_PANETDORIS.xml","","","","","1729","9","false","0.9523809523809523","0.8333333333333334","1.1666666666666667","pan|palemon","6.666666666666667","2","","","1729","8","9","0","3","6","0","1","30","","7","","1","7","2289","1628","11","0","233"
"aigueberre-polixene","fre000007","Q63215739","Dumas d'Aigueberre","0","Polixène","Tragédie en un Acte","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/AIGUEBERRE_POLIXENE.xml","","","","","1729","4","false","0.8333333333333333","0.8333333333333334","1.1666666666666667","polixene|pyrrhus","2.5","2","","","1729","3","4","2","2","0","0","1","5","","10","0","1","10","4088","3388","9","0","372"
"aigueberre-prologue","fre000008","","Dumas d'Aigueberre","0","Les Trois Spectacles Prologue","","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/AIGUEBERRE_PROLOGUE.xml","","","","","1729","7","false","1","1","1","several characters","6","1","","","1729","6","7","4","3","0","0","1","21","","2","","1","2","2168","1514","0","50","0"
"alain-legrand-epreuve-reciproque","fre000009","","Alain","0","L'Epreuve Réciproque","Comédie","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ALAINLEGRAND_EPREUVERECIPROQUE.xml","","","","","1711","6","false","0.9","0.8666666666666667","1.1333333333333333","madame-de-falignac|lisette|philaminte","4.333333333333333","2","1711-10-06","1711","1711","5","6","3","3","0","0","1","13","","18","","1","18","6190","5825","15","285","0"
"allainval-ecole-des-bourgeois","fre000010","","Soulas d'Allainval","0","L'Ecole des Bourgeois","Comédie en Trois Actes avec un Prologue","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ALLAINVAL_ECOLEDESBOURGEOIS.xml","","","","","1728","13","false","0.7885170385170385","0.6025641025641025","1.4102564102564104","marthon|madame-abraham","7.230769230769231","3","1728-09-20","1728","1728","11","13","2","5","6","0","1","47","","49","","3","49","15076","14615","306","720","2"
"allainval-hiver","fre000011","","Soulas d'Allainval","0","L'Hiver","Comédie en Trois Actes avec un Prologue","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ALLAINVAL_HIVER.xml","","","","","1733","10","false","0.1380952380952381","0.2","1.8888888888888888","comus","1.8","3","1733-02-19","1733","1733","7","10","3","4","3","0","2","9","","15","","1","15","8369","8121","179","23","933"
"allais-bon-bougre","fre000012","","Allais","0","Le Pauvre Bougre et le Bon Génie","Féérie en un Acte","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ALLAIS_BONBOUGRE.xml","","","","","1889","4","false","1","1","1","several characters","3","1","","","1889","3","4","1","2","1","0","1","6","","10","","0","10","3285","3112","286","164","16"
"allais-mecontent","fre000013","","Allais","0","Un Mécontent","Monologue","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ALLAIS_MECONTENT.xml","","","","","1889","1","false","0","0","0","un-homme","0","0","","","1889","0","1","0","1","0","0","1","0","","1","","0","1","1044","1007","0","41","0"
"allais-une-idee-lumineuse","fre001570","","Allais","0","Une Idée Lumineuse","Monologue Dit par Coquelin Cadet de la Comédie-Française","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ALLAIS_IDEELUMINEUSE.xml","","","","","1889","1","false","0","0","0","un-homme","0","0","","","1889","0","1","0","1","0","0","1","0","","1","","0","1","1126","1088","0","71","0"
