title,title_pretty,genre,kept_characters,character_count,removed_characters,removed_characters_count,whole_density,whole_diameter,whole_average_clustering,wo1_density,wo1_diameter,wo1_average_clustering,wo2_density,wo2_diameter,wo2_average_clustering,wo3_density,wo3_diameter,wo3_average_clustering,wo4_density,wo4_diameter,wo4_average_clustering,wo5_density,wo5_diameter,wo5_average_clustering
magnon-tamerlan,Tamerlan,Tragedy,"#mansor, #tamerlan, #dorize, #roxalie, #selim, #bajazet, #themir, #indarthize, #zilim, #orcazie, #un-garde, #le-soldat",12,,,0.3939393939393939,4,0.5043650793650793,0.36363636363636365,4,0.48849206349206353,0.45454545454545453,4,0.5664502164502164,0.36363636363636365,4,0.5203463203463203,0.45454545454545453,3,0.5805194805194805,0.3939393939393939,4,0.5043650793650793
magnon-zenobie,"Zénobie, Reine de Palmire",Tragedy,"#timagene, #aurelian, #zenobie, #ilione, #odenie, #martian, #rutile, #dioree, #zabas, #un-garde",10,,,0.6666666666666666,2,0.7797619047619048,0.6222222222222222,2,0.7484920634920635,0.75,2,0.8968253968253967,0.6444444444444445,2,0.7584126984126984,0.6444444444444445,2,0.7793650793650794,0.6666666666666666,2,0.7797619047619048
mairet-sophonisbe,Sophonisbe,Tragedy,"#scipion, #lelie, #philon, #syphax, #caliodore, #sophonisbe, #corisbe, #phenice, #massinisse, #philippe, #ariston",11,,,0.36363636363636365,4,0.583982683982684,0.36363636363636365,4,0.583982683982684,0.37777777777777777,4,0.63,0.4,4,0.5628571428571428,0.3090909090909091,4,0.5731601731601731,0.36363636363636365,4,0.583982683982684
mareschala-jugement,Le Jugement Equitable de Charles le Hardy Dernier Duc de Bourgogne,Tragedy,"#ferdinand, #fredegonde, #rodolfe, #leopolde, #mathilde, #albert, #charles, #dionee, #frederic, #rutile",10,,,0.6,3,0.7085714285714286,0.6666666666666666,2,0.7375661375661375,0.5111111111111111,3,0.6295238095238095,0.6,3,0.7085714285714286,0.5333333333333333,3,0.6888095238095239,0.6,3,0.7085714285714286
mareschala-railleur,Le Railleur,Comedy,"#beaurocher, #clarimand, #la-dupre, #taillebras, #lyzante, #clorinde, #amedor, #clytie",8,,,0.9642857142857143,2,0.9642857142857142,0.9285714285714286,2,0.9404761904761905,0.8928571428571429,2,0.9285714285714286,0.9642857142857143,2,0.9642857142857142,0.9642857142857143,2,0.9642857142857142,0.9642857142857143,2,0.9642857142857142
mareschala-veritable-capitaine-matamore,Le Véritable Capitan Matamore ou Le Fanfaron,Comedy,"#phylazie, #sceledre, #matamore, #palestrion, #perimene, #artelese, #phydippe, #artotrogue, #placide",9,,,0.8611111111111112,2,0.9404761904761904,0.8611111111111112,2,0.9404761904761904,0.8611111111111112,2,0.9404761904761904,0.8611111111111112,2,0.9404761904761904,0.6666666666666666,2,0.7597883597883598,0.8611111111111112,2,0.9404761904761904
marivaux-annibal,Annibal,Tragedy,"#prusias, #annibal, #hieron, #flaminius, #laodice, #amilcar, #flavius, #egine",8,,,0.35714285714285715,3,0.25,0.42857142857142855,3,0.35714285714285715,0.35714285714285715,3,0.25,0.35714285714285715,3,0.25,0.32142857142857145,4,0.16666666666666666,0.35714285714285715,3,0.25
marivaux-serments-indiscrets,Les Serments Indiscrets,Comedy,"#phenice, #damis, #le-valet, #frontin, #orgon, #lucile, #lisette, #ergaste",8,,,0.8571428571428571,2,0.9285714285714286,0.8571428571428571,2,0.9285714285714286,0.8571428571428571,2,0.9285714285714286,0.8214285714285714,2,0.894047619047619,0.8214285714285714,2,0.8904761904761904,0.8571428571428571,2,0.9285714285714286
moliere-amants-magnifiques,Les Amants Magnifiques,Comedy,"#clitidas, #cleonice, #iphicrate, #aristione, #venus, #anaxarque, #timocles, #sostrate, #eriphile, #cleon, #chorebe",11,,,0.4909090909090909,3,0.6049783549783551,0.4909090909090909,3,0.6049783549783551,0.5555555555555556,3,0.6952380952380952,0.6666666666666666,3,0.8042328042328042,0.4909090909090909,3,0.6049783549783551,0.4909090909090909,3,0.6049783549783551
moliere-avare,L'Avare,Comedy,"#valere, #cleante, #brindavoine, #elise, #mariane, #maitre-jacques, #la-merluche, #harpagon, #la-fleche, #frosine, #commissaire, #anselme, #maitre-simon",13,,,0.6153846153846154,2,0.8334276834276834,0.6666666666666666,2,0.8583994708994709,0.6545454545454545,2,0.8176767676767676,0.6153846153846154,2,0.8334276834276834,0.6727272727272727,2,0.8493506493506494,0.6153846153846154,2,0.8334276834276834
moliere-bourgeois-gentilhomme,Le Bourgeois Gentilhomme,Comedy,"#une-musicienne, #le-maitre-de-musique, #le-maitre-d-armes, #second-laquais, #covielle, #dorante, #premier-musicien, #le-maitre-a-danser, #monsieur-jourdain, #lucile, #cleonte, #un-musicien, #second-musicien, #le-mufti, #les-turcs, #dorimene, #les-musiciens, #trois-musiciens, #nicole, #deux-musiciens, #madame-jourdain, #le-maitre-tailleur, #garcon-tailleur, #l-eleve, #laquais, #premier-laquais, #le-maitre-de-philosophie",27,,,0.29914529914529914,4,0.8875011908828334,0.3715415019762846,4,0.896974650063895,0.31333333333333335,4,0.8891313131313132,0.35144927536231885,3,0.9035984848484849,0.2792022792022792,4,0.8527229971674416,0.29914529914529914,4,0.8875011908828334
moliere-depit-amoureux,Le Dépit Amoureux,Comedy,"#polydore, #valere, #albert, #marinette, #gros-rene, #mascarille, #eraste, #la-rapiere, #ascagne, #lucile, #metaphraste, #frosine",12,,,0.6212121212121212,3,0.8379629629629629,0.7090909090909091,3,0.8535353535353536,0.6212121212121212,3,0.8379629629629629,0.6212121212121212,3,0.8379629629629629,0.41818181818181815,3,0.6712121212121213,0.6212121212121212,3,0.8379629629629629
moliere-dom-garcie-de-navarre,Don Garcie de Navarre,Comedy,"#don-garcie, #elise, #dona-elvire, #don-alvar, #dona-ignes, #don-sylve, #don-lope, #pedre",8,,,0.5714285714285714,3,0.7083333333333334,0.6666666666666666,3,0.7142857142857143,0.5714285714285714,3,0.7083333333333334,0.5714285714285714,2,0.7857142857142857,0.5357142857142857,3,0.7125,0.5714285714285714,3,0.7083333333333334
moliere-dom-juan,Don Juan ou Le Festin de Pierre,Comedy,"#la-violette, #sganarelle, #dona-elvire, #don-juan, #gusman, #charlotte, #mathurine, #pierrot, #ragotin, #monsieur-dimanche, #don-louis, #francisque, #la-statue, #la-ramee, #don-carlos, #don-alonse, #le-spectre",17,,,0.2426470588235294,3,0.7937297996121525,0.2948717948717949,3,0.7487179487179486,0.26666666666666666,3,0.7250971250971251,0.27472527472527475,3,0.7058441558441559,0.25833333333333336,3,0.7826236263736264,0.2426470588235294,3,0.7937297996121525
moliere-ecole-des-femmes,L'Ecole des Femmes,Comedy,"#agnes, #oronte, #arnolphe, #horace, #georgette, #notaire, #chrysalde, #enrique, #alain",9,,,0.6388888888888888,2,0.8595238095238096,0.6388888888888888,2,0.8595238095238096,0.6388888888888888,2,0.8595238095238096,0.7142857142857143,2,0.8607142857142858,0.42857142857142855,2,0.4571428571428572,0.6388888888888888,2,0.8595238095238096
moliere-etourdi,L'Etourdi,Comedy,"#lelie, #andres, #pandolfe, #mascarille, #celie, #hippolite, #trufaldin, #le-courrier, #anselme, #leandre, #ergaste",11,,,0.6181818181818182,2,0.850937950937951,0.7111111111111111,2,0.8612698412698412,0.6,2,0.7742424242424242,0.6,2,0.8528860028860028,0.4444444444444444,2,0.7705555555555555,0.6181818181818182,2,0.850937950937951
moliere-femmes-savantes,Les Femmes Savantes,Comedy,"#clitandre, #trissotin, #chrysale, #henriette, #le-notaire, #armande, #belise, #martine, #vadius, #philaminte, #l-epine, #ariste, #julien",13,,,0.6794871794871795,2,0.856021756021756,0.6794871794871795,2,0.856021756021756,0.7636363636363637,2,0.8857864357864358,0.7575757575757576,2,0.8717171717171718,0.6363636363636364,2,0.8349867724867726,0.6794871794871795,2,0.856021756021756
moliere-festin-de-pierre,Don Juan,Comedy,"#la-violette, #sganarelle, #dona-elvire, #don-juan, #le-pauvre, #gusman, #charlotte, #mathurine, #pierrot, #ragotin, #monsieur-dimanche, #don-louis, #la-statue, #la-ramee, #don-carlos, #don-alonse, #le-spectre",17,,,0.2426470588235294,3,0.7937297996121525,0.2948717948717949,3,0.7487179487179486,0.26666666666666666,3,0.7250971250971251,0.27472527472527475,3,0.7058441558441559,0.25833333333333336,3,0.7826236263736264,0.2426470588235294,3,0.7937297996121525
moliere-misanthrope,Le Misanthrope,Comedy,"#alceste, #clitandre, #arsinoe, #eliante, #garde, #celimene, #oronte, #acaste, #philinte, #basque, #dubois",11,,,0.6545454545454545,2,0.8907647907647906,0.7111111111111111,2,0.9210317460317461,0.6363636363636364,2,0.9029581529581528,0.7555555555555555,2,0.9031746031746032,0.4909090909090909,2,0.84011544011544,0.6545454545454545,2,0.8907647907647906
moliere-tartuffe,Le Tartuffe,Comedy,"#valere, #orgon, #mariane, #l-exempt, #elmire, #damis, #cleante, #loyal, #tartuffe, #madame-pernelle, #dorine",11,,,0.8,2,0.908080808080808,0.7636363636363637,2,0.9222222222222222,0.8,2,0.908080808080808,0.8,2,0.908080808080808,0.75,2,0.8775132275132275,0.8,2,0.908080808080808
pousset-de-montauban-zenobie,Zénobie Reine d'Arménie,Tragedy,"#berenice, #zenobie, #phraarte, #perside, #helvidius, #tiridate, #helvitius, #rhadamiste, #leontin, #corbulon, #un-garde",11,,,0.6727272727272727,2,0.8051948051948052,0.6727272727272727,2,0.8051948051948052,0.6727272727272727,2,0.8051948051948052,0.6666666666666666,2,0.7624338624338624,0.8055555555555556,2,0.8611111111111112,0.6727272727272727,2,0.8051948051948052
monchretien-ecossaise-1604,Tragédie de la Reine d'Ecosse,Tragedy,"#suivantes-de-la-reine-d-ecosse-, #davison, #page, #suivantes-de-la-reine-d-ecosse, #maitre-d-hotel, #messager, #choeur-des-etats, #conseiller, #reine-d-ecosse, #reine-d-angleterre",10,,,0.35555555555555557,2,0.9466666666666667,0.35555555555555557,2,0.9466666666666667,0.3333333333333333,2,0.7619047619047619,0.35555555555555557,2,0.9466666666666667,0.4642857142857143,1,1.0,0.35555555555555557,2,0.9466666666666667
