#Iago_Oth,#Duke_Oth,{}
#Iago_Oth,#SENATORS.0.2_Oth,{}
#Iago_Oth,#Othello_Oth,{}
#Iago_Oth,#Sailor_Oth,{}
#Iago_Oth,#MESSENGERS.X.1_Oth,{}
#Iago_Oth,#Brabantio_Oth,{}
#Iago_Oth,#SENATORS_Oth,{}
#Iago_Oth,#Roderigo_Oth,{}
#Iago_Oth,#Cassio_Oth,{}
#Iago_Oth,#OFFICERS_Oth,{}
#Iago_Oth,#OFFICERS.0.1_Oth,{}
#Iago_Oth,#Desdemona_Oth,{}
#Iago_Oth,#SENATORS.0.1_Oth,{}
#Duke_Oth,#SENATORS.0.1_Oth,{}
#Duke_Oth,#Brabantio_Oth,{}
#Duke_Oth,#MESSENGERS.X.1_Oth,{}
#Duke_Oth,#Roderigo_Oth,{}
#Duke_Oth,#SENATORS_Oth,{}
#Duke_Oth,#SENATORS.0.2_Oth,{}
#Duke_Oth,#OFFICERS.0.1_Oth,{}
#Duke_Oth,#Othello_Oth,{}
#Duke_Oth,#Desdemona_Oth,{}
#Duke_Oth,#Sailor_Oth,{}
#SENATORS.0.2_Oth,#Brabantio_Oth,{}
#SENATORS.0.2_Oth,#MESSENGERS.X.1_Oth,{}
#SENATORS.0.2_Oth,#SENATORS_Oth,{}
#SENATORS.0.2_Oth,#Roderigo_Oth,{}
#SENATORS.0.2_Oth,#OFFICERS.0.1_Oth,{}
#SENATORS.0.2_Oth,#Desdemona_Oth,{}
#SENATORS.0.2_Oth,#Sailor_Oth,{}
#SENATORS.0.2_Oth,#SENATORS.0.1_Oth,{}
#SENATORS.0.2_Oth,#Othello_Oth,{}
#Brabantio_Oth,#Othello_Oth,{}
#Brabantio_Oth,#Sailor_Oth,{}
#Brabantio_Oth,#Roderigo_Oth,{}
#Brabantio_Oth,#MESSENGERS.X.1_Oth,{}
#Brabantio_Oth,#SENATORS_Oth,{}
#Brabantio_Oth,#Cassio_Oth,{}
#Brabantio_Oth,#OFFICERS_Oth,{}
#Brabantio_Oth,#OFFICERS.0.1_Oth,{}
#Brabantio_Oth,#Desdemona_Oth,{}
#Brabantio_Oth,#SENATORS.0.1_Oth,{}
#MESSENGERS.X.1_Oth,#Othello_Oth,{}
#MESSENGERS.X.1_Oth,#OFFICERS.0.1_Oth,{}
#MESSENGERS.X.1_Oth,#Desdemona_Oth,{}
#MESSENGERS.X.1_Oth,#SENATORS.0.1_Oth,{}
#MESSENGERS.X.1_Oth,#Sailor_Oth,{}
#MESSENGERS.X.1_Oth,#Roderigo_Oth,{}
#MESSENGERS.X.1_Oth,#SENATORS_Oth,{}
#SENATORS_Oth,#Othello_Oth,{}
#SENATORS_Oth,#OFFICERS.0.1_Oth,{}
#SENATORS_Oth,#SENATORS.0.1_Oth,{}
#SENATORS_Oth,#Sailor_Oth,{}
#SENATORS_Oth,#Desdemona_Oth,{}
#SENATORS_Oth,#Roderigo_Oth,{}
#Roderigo_Oth,#OFFICERS.0.1_Oth,{}
#Roderigo_Oth,#Othello_Oth,{}
#Roderigo_Oth,#Sailor_Oth,{}
#Roderigo_Oth,#OFFICERS_Oth,{}
#Roderigo_Oth,#Cassio_Oth,{}
#Roderigo_Oth,#Desdemona_Oth,{}
#Roderigo_Oth,#SENATORS.0.1_Oth,{}
#SENATORS.0.1_Oth,#Desdemona_Oth,{}
#SENATORS.0.1_Oth,#Othello_Oth,{}
#SENATORS.0.1_Oth,#OFFICERS.0.1_Oth,{}
#SENATORS.0.1_Oth,#Sailor_Oth,{}
#Othello_Oth,#Cassio_Oth,{}
#Othello_Oth,#OFFICERS_Oth,{}
#Othello_Oth,#Sailor_Oth,{}
#Othello_Oth,#OFFICERS.0.1_Oth,{}
#Othello_Oth,#Desdemona_Oth,{}
#OFFICERS.0.1_Oth,#Desdemona_Oth,{}
#OFFICERS.0.1_Oth,#Sailor_Oth,{}
#Desdemona_Oth,#Sailor_Oth,{}
#Cassio_Oth,#OFFICERS_Oth,{}
