#Clown_Oth,#Emilia_Oth,{}
#Clown_Oth,#Bianca_Oth,{}
#Clown_Oth,#MUSICIANS.0.1_Oth,{}
#Clown_Oth,#Othello_Oth,{}
#Clown_Oth,#Iago_Oth,{}
#Clown_Oth,#Cassio_Oth,{}
#Clown_Oth,#Desdemona_Oth,{}
#Emilia_Oth,#Othello_Oth,{}
#Emilia_Oth,#Cassio_Oth,{}
#Emilia_Oth,#Desdemona_Oth,{}
#Emilia_Oth,#Iago_Oth,{}
#Emilia_Oth,#Bianca_Oth,{}
#Emilia_Oth,#MUSICIANS.0.1_Oth,{}
#Bianca_Oth,#Othello_Oth,{}
#Bianca_Oth,#Cassio_Oth,{}
#Bianca_Oth,#Desdemona_Oth,{}
#Bianca_Oth,#Iago_Oth,{}
#MUSICIANS.0.1_Oth,#Iago_Oth,{}
#MUSICIANS.0.1_Oth,#Cassio_Oth,{}
#Othello_Oth,#Iago_Oth,{}
#Othello_Oth,#Cassio_Oth,{}
#Othello_Oth,#Desdemona_Oth,{}
#Othello_Oth,#GENTLEMEN.0.1_Oth,{}
#Iago_Oth,#GENTLEMEN.0.1_Oth,{}
#Iago_Oth,#Cassio_Oth,{}
#Iago_Oth,#Desdemona_Oth,{}
#Cassio_Oth,#Desdemona_Oth,{}
