#Montano_Oth,#Lodovico_Oth,{}
#Montano_Oth,#Gratiano_Oth,{}
#Montano_Oth,#Cassio_Oth,{}
#Montano_Oth,#Desdemona_Oth,{}
#Montano_Oth,#Othello_Oth,{}
#Montano_Oth,#Emilia_Oth,{}
#Montano_Oth,#Iago_Oth,{}
#Montano_Oth,#Bianca_Oth,{}
#Lodovico_Oth,#Iago_Oth,{}
#Lodovico_Oth,#Bianca_Oth,{}
#Lodovico_Oth,#Gratiano_Oth,{}
#Lodovico_Oth,#Roderigo_Oth,{}
#Lodovico_Oth,#Cassio_Oth,{}
#Lodovico_Oth,#Desdemona_Oth,{}
#Lodovico_Oth,#Emilia_Oth,{}
#Lodovico_Oth,#Othello_Oth,{}
#Iago_Oth,#Othello_Oth,{}
#Iago_Oth,#Gratiano_Oth,{}
#Iago_Oth,#Roderigo_Oth,{}
#Iago_Oth,#Cassio_Oth,{}
#Iago_Oth,#Desdemona_Oth,{}
#Iago_Oth,#Emilia_Oth,{}
#Iago_Oth,#Bianca_Oth,{}
#Othello_Oth,#Gratiano_Oth,{}
#Othello_Oth,#Roderigo_Oth,{}
#Othello_Oth,#Cassio_Oth,{}
#Othello_Oth,#Desdemona_Oth,{}
#Othello_Oth,#Emilia_Oth,{}
#Othello_Oth,#Bianca_Oth,{}
#Gratiano_Oth,#Cassio_Oth,{}
#Gratiano_Oth,#Emilia_Oth,{}
#Gratiano_Oth,#Desdemona_Oth,{}
#Gratiano_Oth,#Bianca_Oth,{}
#Gratiano_Oth,#Roderigo_Oth,{}
#Roderigo_Oth,#Bianca_Oth,{}
#Roderigo_Oth,#Cassio_Oth,{}
#Roderigo_Oth,#Emilia_Oth,{}
#Cassio_Oth,#Emilia_Oth,{}
#Cassio_Oth,#Bianca_Oth,{}
#Cassio_Oth,#Desdemona_Oth,{}
#Bianca_Oth,#Desdemona_Oth,{}
#Bianca_Oth,#Emilia_Oth,{}
#Desdemona_Oth,#Emilia_Oth,{}
